data,intent
sounds good agreed thank you,affirmative
affirmative its fine yes,affirmative
agreed that is good yep,affirmative
yes sir,affirmative
yep yes thanks,affirmative
im ok with that that is fine affirmative,affirmative
correct that is right affirmative,affirmative
im ok with that its fine yes,affirmative
yes,affirmative
affirmative that is right agreed,affirmative
affirmative i want that affirmative,affirmative
agreed that is fine yes,affirmative
yep right thanks,affirmative
yes sir that is right yep,affirmative
affirmative,affirmative
im ok with that its fine right,affirmative
right that is right right,affirmative
yes sir yes sir thank you,affirmative
correct that is correct im ok with that,affirmative
affirmative that is fine yep,affirmative
im ok with that,affirmative
yes i want that right,affirmative
sounds good pls,affirmative
im ok with that its fine yep,affirmative
im ok with that that is correct,affirmative
correct that is good yes,affirmative
right,affirmative
that is good agreed,affirmative
yes i want that yep,affirmative
im ok with that that is right yes,affirmative
sounds good that is right yes sir,affirmative
yes sir that is what i want yes,affirmative
yep that is good im ok with that,affirmative
agreed that is fine sounds good,affirmative
right that is right affirmative,affirmative
yep yes sir thanks,affirmative
agreed please,affirmative
affirmative its fine yes sir,affirmative
yep i want that,affirmative
yes that is what i want yes sir,affirmative
affirmative you understood me yes sir,affirmative
yep that is correct,affirmative
yes sir that is correct,affirmative
yep,affirmative
agreed yep thanks,affirmative
good im ok with that,affirmative
affirmative that is right,affirmative
correct good affirmative,affirmative
affirmative agreed thank you,affirmative
correct that is correct sounds good,affirmative
yes sir that is what i want agreed,affirmative
agreed that is correct agreed,affirmative
agreed that is correct,affirmative
sounds good you understood me im ok with that,affirmative
affirmative that is fine agreed,affirmative
right good affirmative,affirmative
agreed,affirmative
yes sir affirmative,affirmative
right that is right yep,affirmative
affirmative good,affirmative
sounds good good affirmative,affirmative
correct that is fine,affirmative
sounds good that is correct affirmative,affirmative
yes that is right yep,affirmative
agreed that is right yes sir,affirmative
yes that is good im ok with that,affirmative
sounds good i want that agreed,affirmative
sounds good,affirmative
agreed that is correct right,affirmative
agreed good yes sir,affirmative
yes its fine im ok with that,affirmative
correct that is right im ok with that,affirmative
affirmative that is fine affirmative,affirmative
sounds good that is fine,affirmative
agreed i want that correct,affirmative
agreed affirmative thanks,affirmative
agreed that is right agreed,affirmative
that is good correct,affirmative
agreed that is what i want yep,affirmative
yes sir that is good yes,affirmative
agreed you understood me,affirmative
affirmative i want that yes sir,affirmative
sounds good that is what i want agreed,affirmative
right good,affirmative
correct you understood me,affirmative
correct you understood me correct,affirmative
correct,affirmative
yes sir correct,affirmative
correct that is correct affirmative,affirmative
right you understood me,affirmative
sounds good correct,affirmative
im ok with that you understood me correct,affirmative
correct thanks,affirmative
affirmative that is right correct,affirmative
correct i want that yes sir,affirmative
affirmative that is what i want correct,affirmative
sounds good that is right,affirmative
that is what i want yes,affirmative
affirmative its fine yep,affirmative
right that is fine right,affirmative
talk to you soon adios,bye
farewell,bye
thank you chau,bye
im leaving now bye,bye
bye,bye
