data,intent
plz I wish to request for earned leave from August 14 to May 24th,applyLeave
please I application for holiday,applyLeave
hi pls I request request for sick leave from 27/8 to 1st of July,applyLeave
hello pls I wish to avail for sick vacation on mar 10,applyLeave
hi pls I wish to application for maternity vacation from October 17 to January 6th,applyLeave
plz request avail for casual vacation on November 13,applyLeave
hello wish to application for holiday on 23th of oct,applyLeave
hey please request application for leave,applyLeave
hello pls wish to get for maternity vacation from May 3 to oct 12th,applyLeave
hello pls me request apply for leave from 4 of jun to 6/3,applyLeave
hello pls need to get for leave on dec 20,applyLeave
hey request apply for earned vacation,applyLeave
pls me request for sick leave,applyLeave
please me request request for medical holiday,applyLeave
pls need to get for maternity leave on 22 of mar,applyLeave
pls I application for medical leave from 8/2 to 8th of March,applyLeave
hi me need to get for casual vacation,applyLeave
hi I request for paternity vacation from 11th of February to 3rd of April,applyLeave
hey pls me wish to apply for paternity leave from dec 10th to 10 of August,applyLeave
pls I request request for holiday on nov 19,applyLeave
plz me request for medical leave from 18/4 to 5 of March,applyLeave
hello want to avail for leave on mar 17,applyLeave
hi wish to request for paternity holiday,applyLeave
hello please need to request for maternity leave,applyLeave
hello me need to get for holiday,applyLeave
hi please I request get for sick holiday on 13/8,applyLeave
avail sick vacation,applyLeave
hi please me want to get for medical vacation from August 12th to 26th of February,applyLeave
hi I want to apply for medical leave,applyLeave
plz I want to get for earned vacation,applyLeave
hey request for casual leave,applyLeave
I want to application for casual vacation,applyLeave
application casual leave,applyLeave
hi me avail for paternity holiday,applyLeave
hello please me need to application for casual holiday,applyLeave
hi plz me wish to application for paternity leave,applyLeave
hey wish to request for casual leave from nov 20 to feb 16,applyLeave
hi please request application for paternity holiday from February 19 to October 7th,applyLeave
pls I get for leave on 30 of February,applyLeave
plz me get for maternity vacation,applyLeave
hey me request avail for paternity leave from aug 7th to 21/10,applyLeave
hello please want to application for paternity holiday on 31th of jan,applyLeave
hey plz I want to request for maternity vacation from 3 of oct to nov 19,applyLeave
