data,intent
hey pls wish to application for leave on apr 21th,applyLeave
hi pls me avail for casual holiday from nov 7 to 6/1,applyLeave
plz request apply for sick vacation,applyLeave
hey pls I want to get for paternity leave on January 17th,applyLeave
hey plz I wish to request for medical leave from February 31th to December 21th,applyLeave
hi please need to request for sick leave from June 12 to apr 29,applyLeave
hey pls me request request for maternity vacation,applyLeave
casual holiday,applyLeave
wish to apply for maternity vacation from 10th of aug to August 25th,applyLeave
hello please I want to avail for paternity leave from 6th of April to mar 1st,applyLeave
me want to application for medical vacation on 14 of apr,applyLeave
hey pls request avail for medical leave from 22 of nov to 18 of September,applyLeave
plz me want to request for paternity vacation on 27/3,applyLeave
avail earned holiday,applyLeave
hello me get for medical holiday on 23th of April,applyLeave
pls me wish to application for casual leave,applyLeave
plz I want to avail for maternity holiday on 6/7,applyLeave
pls request apply for casual vacation from May 22th to 8/4,applyLeave
hello plz want to avail for leave on sept 20,applyLeave
hello pls need to application for medical leave on jun 30,applyLeave
me want to apply for maternity holiday on December 28th,applyLeave
hello please I want to request for medical holiday,applyLeave
hey pls need to application for medical holiday,applyLeave
pls want to request for medical vacation,applyLeave
hello pls I need to application for casual leave from 3rd of may to feb 31,applyLeave
request earned holiday,applyLeave
hello pls me request apply for earned vacation from 3rd of November to may 11th,applyLeave
hello me want to apply for earned vacation on 9 of April,applyLeave
apply sick vacation,applyLeave
hey please wish to request for medical leave from September 27th to March 9,applyLeave
hello please me wish to request for holiday from 26/8 to 1st of oct,applyLeave
please me request apply for paternity vacation from March 7 to 21 of March,applyLeave
hi please I request get for medical vacation on 10/12,applyLeave
hey please apply for medical holiday,applyLeave
hi pls avail for maternity leave on 5th of dec,applyLeave
hello request avail for paternity vacation on jun 29th,applyLeave
hey please me get for earned leave on 3/4,applyLeave
hey pls I need to get for sick vacation,applyLeave
hey plz me apply for maternity vacation on 24/9,applyLeave
plz get for holiday from April 13th to 27th of September,applyLeave
hey I need to request for medical holiday from may 7th to 29 of mar,applyLeave
hey please want to application for medical holiday from December 2nd to july 25,applyLeave
hi wish to get for sick leave from 9/4 to 14th of nov,applyLeave
avail sick holiday,applyLeave
request casual vacation,applyLeave
hey I apply for medical holiday on 22 of March,applyLeave
hey plz need to apply for earned vacation,applyLeave
me wish to avail for casual leave from January 3rd to 3/8,applyLeave
pls request application for earned vacation from 28th of oct to aug 4th,applyLeave
please me apply for casual holiday from 16 of july to july 20th,applyLeave
avail paternity leave,applyLeave
I wish to apply for medical vacation from 22 of feb to nov 21th,applyLeave
please I need to get for earned leave from February 17th to 10 of aug,applyLeave
want to get for earned holiday from December 29 to 17/7,applyLeave
hello me request for medical vacation,applyLeave
I avail for casual leave from March 9th to 8 of June,applyLeave
hi I get for sick leave on August 20,applyLeave
hello wish to request for medical holiday,applyLeave
hi pls I get for maternity holiday,applyLeave
hello please me avail for paternity holiday,applyLeave
hi please me avail for casual vacation from oct 1 to may 16th,applyLeave
please me want to request for casual holiday from July 7th to 7 of November,applyLeave
hey plz I want to avail for casual vacation on 6 of july,applyLeave
hey pls me need to avail for paternity leave on mar 5,applyLeave
hello pls wish to apply for sick leave on 13/5,applyLeave
hello pls me request get for maternity vacation,applyLeave
hello plz need to get for paternity leave,applyLeave
hello plz me wish to get for medical holiday from 6th of February to 8th of September,applyLeave
maternity vacation,applyLeave
hi please I wish to request for earned holiday from 26/1 to 8th of December,applyLeave
hi pls I need to avail for paternity vacation on jan 4th,applyLeave
hi plz application for maternity vacation from aug 25 to 30 of oct,applyLeave
hi plz want to application for medical holiday on 18th of aug,applyLeave
pls I wish to get for holiday on 25 of July,applyLeave
hi me request avail for sick leave on 23 of sept,applyLeave
plz need to apply for earned vacation,applyLeave
hey pls me want to request for casual holiday from 29 of March to 15th of March,applyLeave
hey please I get for casual vacation,applyLeave
please me wish to apply for sick vacation from 28th of December to sept 2,applyLeave
hello I request request for leave on 4 of may,applyLeave
hello please me request application for paternity holiday on sept 23th,applyLeave
hi plz I want to get for sick vacation on july 11th,applyLeave
hello please I need to application for holiday,applyLeave
hey plz I wish to avail for medical vacation from 6th of nov to 6 of December,applyLeave
request avail for casual leave from jun 10th to sept 19,applyLeave
please request for casual leave on 11th of nov,applyLeave
hey pls me wish to apply for casual leave,applyLeave
hello please me wish to avail for sick holiday on july 13th,applyLeave
hello plz me request get for casual leave from apr 3 to may 9,applyLeave
hi pls me need to request for medical leave from sept 9th to jan 8,applyLeave
hello I apply for earned leave on oct 23th,applyLeave
plz I request avail for medical holiday on 14 of December,applyLeave
hello pls I want to application for casual holiday from 6th of jan to 18th of June,applyLeave
please I wish to get for maternity leave,applyLeave
application leave,applyLeave
I request application for sick leave,applyLeave
hello pls I want to application for medical leave on 1st of September,applyLeave
hi wish to get for sick holiday from 5th of oct to 21/8,applyLeave
pls I need to request for sick leave from feb 9th to dec 3,applyLeave
pls I request request for casual vacation on 15th of jun,applyLeave
look for available meeting between 9:16 pm and 18:11,bookMeeting
find available room,bookMeeting
show me any available meeting on 30/10,bookMeeting
fix all available meet,bookMeeting
show all meeting between 1:19 and 4:23,bookMeeting
setup room from 1:52 to 5:47 on 15/1,bookMeeting
fix available hall from 1:13 am to 7:4 on apr 14,bookMeeting
show any meet on 18/9,bookMeeting
book meet from 1:1 to 21:08,bookMeeting
find meeting between 11:21 am and 5:31,bookMeeting
schedule meet from 3:46 am to 3:42 pm on 25 of July,bookMeeting
find all meeting between 8:02 pm and 4:47,bookMeeting
find any available hall on 4 of April,bookMeeting
identify any available meet on 28 of jan,bookMeeting
arrange meet from 0:40 am to 5:2 am on 11 of March,bookMeeting
fix some available hall,bookMeeting
show me hall between 0:52 and 6:09,bookMeeting
find any available room,bookMeeting
reserve hall from 15:03 to 4:03 on 12th of july,bookMeeting
reserve available meet from 23:34 to 21:17 on 30th of November,bookMeeting
fix meeting from 20:13 to 9:55 on 2nd of January,bookMeeting
look for all meet on October 30,bookMeeting
reserve any meet,bookMeeting
schedule available hall from 2:19 am to 2:48,bookMeeting
arrange meet from 4:50 am to 12:03 pm,bookMeeting
schedule hall from 12:6 to 12:32,bookMeeting
arrange meet from 0:27 to 2:56,bookMeeting
show any meet between 10:19 pm and 2:39,bookMeeting
